campaign_duration,dollars_pledged
30,0
23,631
30,0
31,13066
30,5
59,8424.5
25,6031
30,0
33,7.72
30,23001
30,5086.37
29,8377.39
30,1300.98
33,12242
31,16926
30,3282.66
20,2431.37
60,0
30,903
50,8390.06
30,76
60,3239
30,0
45,40
59,205.95
2,12701
59,0
30,593.34
20,0
25,1
50,131
30,935
25,1540
30,130
29,502
45,15424.25
30,2
30,95
10,780
55,34554.78
60,4409.77
30,12695
30,1032
45,25269.61
60,1016
30,53.1
90,125
16,10903.17
34,27788.18
60,20
60,4240
29,532
57,132023.5
30,6128.7
25,931.53
60,211.13
60,520
30,2
30,835.1
60,51
30,0
30,152.41
30,141072.95
29,48.93
30,0
30,3404.84
57,0.74
22,2557.01
30,0
42,7310
30,2697
30,407.11
30,2479.03
35,40905.35
32,32000
27,1
30,11040
32,10135
30,162
30,70
30,16
16,140
30,1336
30,210
30,3875
30,0
16,0
30,4956.66
18,4019
30,10.2
60,316
41,116270
16,16595
30,100.01
30,126
60,1
30,142
30,5
56,11305
30,3774
35,1
30,160
25,1016.93
30,1
15,0
9,1170
60,355
30,5
30,237
11,1656
30,1
40,720
30,51
19,500
60,2
30,1487.83
30,57
7,0
30,17000
30,49.18
46,3327
29,0
45,1630
30,203188
32,0
30,0
30,0
30,0
60,5025.5
38,6003.4
50,0
60,0.81
23,3375
30,5138
52,0
31,3050
43,0
30,946
30,0
33,262
15,3230
60,0
30,22
26,598.52
30,2.93
27,5522
21,860
30,50
30,3345
60,0.9
30,30.83
31,12307
30,0
30,1307
29,3076
30,1951
30,0
60,0
30,2318
32,255
45,1
30,12082.04
30,0
30,1
60,49.52
30,225382.99
60,172301.53
30,176.78
29,1715
45,23
57,2132.07
40,114
30,0
60,0
30,8995
30,3187
45,0
30,6172.61
13,1156
60,6127.17
21,125
45,744
60,22928.77
36,7560
30,15.71
23,4729.49
30,2101
30,4102
30,2022
30,10609
34,9638
60,835
30,19880
41,0
45,575
33,2363
30,70442
35,3900
30,144.34
60,50
30,12675.21
31,25206
30,0
37,2427.88
45,1415
30,18252.12
50,11567
30,281.16
60,1580
30,23141.5
30,1236
33,25
30,0
30,4820
32,3143
31,44873
29,177.74
60,7630
25,2
30,86.92
31,27238
60,1849.69
38,846
30,25
30,61
30,70
30,1530
15,3805
60,36
30,40
30,0
29,52837
37,1154
30,0
60,0
30,6
48,8105
30,0
60,1205
30,115
45,220
30,0
20,3011.69
30,15.31
37,21390
33,4179
30,10724.54
30,301
30,0
21,77.22
30,98.21
22,10802
30,36082
30,0
30,286
30,0
23,65
30,35
38,2
30,395
30,0
32,7854.66
31,1725.68
30,4116
30,224
39,21244
30,26893
31,92.16
45,770.89
30,62
45,10174.59
30,0
30,25
60,513770.73
61,0
25,9010
30,539.43
34,6634
30,5.58
32,6023
15,0
30,880.58
27,912
30,2805
37,0
30,4068.99
35,0
30,0
30,2287
30,893.48
30,0
16,1
10,5476
30,343
36,1057
30,105
30,3050
30,4218
30,1330
30,0
45,1977
60,0.74
60,1
30,26042.5
45,475
18,2223
26,0
30,1005
35,6050
45,18492
30,3261.17
29,698
30,1
25,1310
28,740
22,1516
60,125
60,0
59,278
30,461
30,166.33
40,195
45,0
45,8326
30,2164
30,97
30,20
30,10
25,11.65
30,0
30,63.53
30,277.25
30,15
30,8351
19,9942.71
32,2630.77
60,180
33,3330
30,4002
28,0
40,3496
36,4463.03
89,1245
28,5309
36,12160
45,779.09
38,13.68
30,137385
30,50
21,26525.31
30,1559
36,2360
33,2459
60,20
30,3282.47
30,34660
30,11261
30,342.93
40,1250.71
30,1
30,180.26
22,292
30,18505.58
30,440
45,6294
33,300
32,1631
30,901.25
28,1
19,40
30,5
35,4402
30,20
30,1439.65
30,27357.2
30,845
25,1500
30,1625
15,8272.5
30,0
30,235
30,305
38,400
60,82082.01
31,0
35,0
30,5738
22,2541.31
30,7669
31,8941
20,4174.73
28,60
30,49.7
60,0
60,0
30,1898.37
10,11
30,30.5
30,97.11
42,3568.03
45,135
30,2438
